@timestamp,agent.ephemeral_id,agent.id,agent.name,agent.name.text,agent.type,agent.version,data_stream.dataset,data_stream.namespace,data_stream.type,ecs.version,elastic_agent.id,elastic_agent.snapshot,elastic_agent.version,event.action,event.agent_id_status,event.category,event.code,event.created,event.dataset,event.ingested,event.kind,event.module,event.provider,event.type,host.architecture,host.hostname,host.id,host.ip,host.mac,host.name,host.os.build,host.os.family,host.os.kernel,host.os.name,host.os.name.text,host.os.platform,host.os.type,host.os.version,input.type,log.level,message,process.args,process.args_count,process.command_line,process.command_line.text,process.entity_id,process.executable,process.executable.text,process.hash.sha256,process.name,process.name.text,process.parent.args,process.parent.args_count,process.parent.command_line,process.parent.command_line.text,process.parent.entity_id,process.parent.executable,process.parent.executable.text,process.parent.name,process.parent.name.text,process.parent.pid,process.pe.company,process.pe.description,process.pe.file_version,process.pe.original_file_name,process.pe.product,process.pid,process.working_directory,process.working_directory.text,related.hash,related.user,user.domain,user.id,user.name,user.name.text,winlog.api,winlog.channel,winlog.computer_name,winlog.event_data.Company,winlog.event_data.Description,winlog.event_data.FileVersion,winlog.event_data.IntegrityLevel,winlog.event_data.LogonGuid,winlog.event_data.LogonId,winlog.event_data.ParentUser,winlog.event_data.Product,winlog.event_data.TerminalSessionId,winlog.event_id,winlog.opcode,winlog.process.pid,winlog.process.thread.id,winlog.provider_guid,winlog.provider_name,winlog.record_id,winlog.task,winlog.user.domain,winlog.user.identifier,winlog.user.name,winlog.user.type,winlog.version,,,,
"Apr 6, 2024 @ 11:02:15.399",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:15.399
ProcessGuid: {2cb7582e-8a92-6611-a700-000000000a00}
ProcessId: 6268
Image: C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8a92-6611-a700-000000000a00},C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,-,SearchApp.exe,SearchApp.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,268",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,796,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:15.354",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:15.354
ProcessGuid: {2cb7582e-8c4e-6611-0301-000000000a00}
ProcessId: 9156
Image: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8c4e-6611-0301-000000000a00},C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,-,TextInputHost.exe,TextInputHost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,156",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,795,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:15.119",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:15.119
ProcessGuid: {2cb7582e-8a90-6611-a100-000000000a00}
ProcessId: 5708
Image: C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8a90-6611-a100-000000000a00},C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,-,StartMenuExperienceHost.exe,StartMenuExperienceHost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,708",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,794,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.978",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.978
ProcessGuid: {2cb7582e-8acb-6611-d800-000000000a00}
ProcessId: 8340
Image: C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8acb-6611-d800-000000000a00},C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,-,ShellExperienceHost.exe,ShellExperienceHost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,340",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,792,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.978",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.978
ProcessGuid: {2cb7582e-8af2-6611-e500-000000000a00}
ProcessId: 9208
Image: C:\Windows\ImmersiveControlPanel\SystemSettings.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8af2-6611-e500-000000000a00},C:\Windows\ImmersiveControlPanel\SystemSettings.exe,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,-,SystemSettings.exe,SystemSettings.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,208",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,793,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.963",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.963
ProcessGuid: {2cb7582e-8aaf-6611-af00-000000000a00}
ProcessId: 7656
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8aaf-6611-af00-000000000a00},C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe,-,SkypeBackgroundHost.exe,SkypeBackgroundHost.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,656",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,790,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.963",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:16.896",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.963
ProcessGuid: {2cb7582e-8aaf-6611-ae00-000000000a00}
ProcessId: 7632
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8aaf-6611-ae00-000000000a00},C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe,-,SkypeApp.exe,SkypeApp.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,632",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,791,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.790",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:15.882",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.790
ProcessGuid: {2cb7582e-8ac1-6611-be00-000000000a00}
ProcessId: 1840
Image: C:\Users\eraui\AppData\Local\Microsoft\OneDrive\OneDrive.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8ac1-6611-be00-000000000a00},C:\Users\eraui\AppData\Local\Microsoft\OneDrive\OneDrive.exe,C:\Users\eraui\AppData\Local\Microsoft\OneDrive\OneDrive.exe,-,OneDrive.exe,OneDrive.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,840",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,789,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.479",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:15.882",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.479
ProcessGuid: {2cb7582e-8d3a-6611-3401-000000000a00}
ProcessId: 8320
Image: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8d3a-6611-3401-000000000a00},C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,-,msedge.exe,msedge.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,320",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,787,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
"Apr 6, 2024 @ 11:02:14.479",7649c11b-3a00-4241-b375-20762f70ba8f,7ffeba03-3080-43c7-a167-2b63dd853127,terminusk9,terminusk9,filebeat,8.13.1,windows.sysmon_operational,default,logs,8.0.0,7ffeba03-3080-43c7-a167-2b63dd853127,FALSE,8.13.1,Process terminated,verified,process,5,"Apr 6, 2024 @ 11:02:15.882",windows.sysmon_operational,"Apr 6, 2024 @ 11:02:17.000",event,windows,Microsoft-Windows-Sysmon,end,x86_64,terminusk9,2cb7582e-6ac9-4585-97cc-ae60502e4f16,"fe80::1754:ed5c:491b:5546, 10.0.2.15",08-00-27-BF-A9-3A,terminusk9,19045.2965,windows,10.0.19041.2965 (WinBuild.160101.0800),Windows 10 Home,Windows 10 Home,windows,windows,10,winlog,information,"Process terminated:
RuleName: -
UtcTime: 2024-04-06 18:02:14.479
ProcessGuid: {2cb7582e-8abc-6611-bb00-000000000a00}
ProcessId: 6972
Image: C:\Windows\System32\VBoxTray.exe
User: TERMINUSK9\terminusk9",-,-,-,-,{2cb7582e-8abc-6611-bb00-000000000a00},C:\Windows\System32\VBoxTray.exe,C:\Windows\System32\VBoxTray.exe,-,VBoxTray.exe,VBoxTray.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,972",-,-,-,terminusk9,TERMINUSK9,S-1-5-18,terminusk9,terminusk9,wineventlog,Microsoft-Windows-Sysmon/Operational,terminusk9,-,-,-,-,-,-,-,-,-,5,Info,"3,228","3,820",{5770385f-c22a-43e0-bf4c-06f5698ffbd9},Microsoft-Windows-Sysmon,788,Process terminated (rule: ProcessTerminate),NT AUTHORITY,S-1-5-18,SYSTEM,User,3,,,,
